f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55
1.217,275.294,9.81,4.176,1957.394,1351.291,187.272,0.385,8.327,27.196,-0.357,1.577,32.935,0.0,33.549,47.0,817.973,50.818,817.726,0.0,369.53,0.0,0.005,0.0,6.511,0.005,0.0,0.0,1351.682,9.585,45.761,100.0,0.0,0.0,0.0,0.0,100.0,0.953,0.971,91.046,40.884,91.046,794.449,1108.775,59.718,128.832,110.0,128.918,32.23,250.534,74.912,25.405,76.633,4.956,2782.531
1.129,379.495,9.719,4.23,1310.156,1693.578,36.913,-3.209,1.641,124.576,2.186,7.366,44.929,0.0,50.498,47.0,840.362,51.374,838.621,0.0,88.31,0.0,18.947,0.0,11.465,19.029,-0.002,0.0,1326.168,11.149,45.938,100.0,0.0,0.0,0.0,0.0,100.0,1.009,1.013,91.478,41.929,91.478,1182.676,1124.955,71.647,127.05,110.0,127.05,31.738,255.526,75.406,25.68,79.403,5.598,3291.202
1.256,240.197,9.769,4.243,2358.445,1526.823,36.873,-1.4,1.635,66.101,2.525,3.374,42.431,0.0,26.818,47.0,877.587,54.954,872.433,0.0,22.852,0.0,35.05,0.0,23.101,35.052,57.148,0.0,1357.693,0.0,24.726,62.837,0.0,0.0,0.0,0.0,62.938,1.103,1.115,92.907,43.622,92.907,1082.092,1064.742,-0.05,145.69,110.0,145.624,36.406,245.767,78.976,27.482,77.398,4.81,2116.646
1.241,228.419,9.926,3.935,1793.73,1268.868,71.244,2.68,3.092,27.019,-3.296,1.578,40.939,0.0,42.885,45.0,661.565,41.047,649.665,0.0,125.593,0.0,-0.047,0.0,2.363,-0.047,0.0,0.0,1349.442,9.305,45.736,100.0,0.0,0.0,0.0,0.0,100.0,1.014,1.036,94.494,32.483,94.494,683.38,1132.648,43.161,88.942,110.0,88.942,22.236,204.958,64.485,20.529,74.857,4.55,3100.86
1.13,463.439,9.582,4.188,1192.885,1195.125,174.277,0.564,7.75,27.353,-0.271,1.56,1.243,0.0,16.528,47.0,563.712,40.0,548.306,0.0,0.104,0.0,11.882,0.0,100.0,11.882,79.898,0.0,1134.37,17.849,46.863,100.0,0.0,0.0,0.0,0.0,100.0,0.966,1.039,91.093,27.425,91.093,0.119,696.148,34.64,92.348,110.0,92.334,23.094,197.772,63.52,20.0,82.433,4.97,882.359
1.057,884.661,9.733,4.422,350.818,1447.261,185.191,4.216,8.191,27.0,-5.276,1.521,1.185,0.0,0.703,47.0,807.138,53.082,817.064,0.0,505.57,0.0,-0.049,0.0,0.493,-0.048,0.0,0.0,1357.079,9.676,45.706,100.0,0.0,0.0,0.0,0.0,100.0,1.075,1.071,91.827,40.853,91.827,21.657,947.731,1.93,136.892,110.0,136.83,34.223,216.143,76.64,26.538,81.358,6.978,988.699
1.083,1110.406,9.667,4.294,814.271,1216.685,36.226,-6.635,1.61,151.959,3.673,8.353,1.098,0.0,20.714,47.0,566.528,40.0,540.879,0.0,0.092,0.0,12.162,0.0,100.0,12.162,79.91,0.0,1138.799,10.724,45.837,100.0,0.0,0.0,0.0,0.0,100.0,0.944,1.01,91.708,27.048,91.708,0.099,613.852,10.254,94.151,110.0,94.274,23.5,181.489,63.572,20.0,80.537,5.162,857.912
1.209,354.644,9.891,4.162,1874.267,1389.45,36.657,-1.864,1.639,130.328,1.709,7.256,21.397,0.0,38.58,47.0,801.442,49.355,801.809,0.0,240.761,0.0,-0.045,0.0,2.536,-0.045,-0.0,0.0,1353.958,10.441,45.882,100.0,0.0,0.0,0.0,0.0,100.0,1.003,1.1,93.011,40.091,93.011,498.536,631.589,24.917,120.561,110.0,120.616,30.154,229.941,73.272,24.676,77.42,5.095,1.0
1.259,524.888,10.022,4.035,2212.954,1540.369,101.61,2.809,4.762,26.98,-3.314,1.568,40.533,0.0,47.588,47.0,771.859,48.223,771.116,0.0,246.631,0.0,105.534,0.0,37.898,105.534,98.882,0.0,1348.994,25.068,47.908,69.048,0.0,0.0,0.0,0.0,68.868,-0.086,1.04,91.21,38.556,91.21,992.167,1112.47,85.806,112.834,110.0,112.612,28.153,245.539,71.83,24.109,73.417,5.175,3429.73
1.424,221.647,9.867,3.569,3230.522,1913.565,36.284,-2.368,1.613,27.176,-0.128,1.554,37.741,0.0,48.598,47.0,608.717,40.0,0.001,0.0,343.026,0.0,5.34,0.0,4.354,5.34,-0.0,0.0,1255.797,7.754,45.502,75.655,0.0,0.0,0.0,0.0,75.556,1.08,1.135,80.752,-0.0,80.752,923.879,1063.005,52.298,77.877,110.0,77.827,19.457,195.476,63.414,20.0,77.373,5.703,2818.305
1.237,565.255,10.079,4.179,2159.137,1657.995,146.443,2.156,6.069,27.392,-1.929,1.572,23.767,0.0,28.414,47.0,795.562,50.301,804.388,0.0,242.627,0.0,-0.046,0.0,3.453,-0.046,0.0,0.0,1355.706,7.141,45.405,100.0,0.0,0.0,0.0,0.0,100.0,0.995,1.077,91.807,40.197,91.807,563.112,746.715,26.687,125.924,110.0,126.033,31.508,247.994,74.173,25.146,76.981,4.918,1.0
1.264,435.939,10.008,4.196,2589.914,1423.125,83.335,1.589,3.809,27.314,-1.75,1.584,38.9,0.0,39.823,47.0,789.711,49.259,795.042,0.0,229.223,0.0,134.347,0.0,44.994,134.231,113.096,0.0,1340.833,19.91,47.207,79.159,0.0,0.0,0.0,0.0,79.082,-0.085,1.025,92.662,39.726,92.662,922.756,1046.613,70.508,119.961,110.0,120.008,30.002,236.856,72.798,24.642,74.637,5.187,3173.269
1.161,931.211,10.388,4.166,1368.375,1309.793,37.246,-0.385,1.624,184.916,1.851,10.709,30.225,0.0,43.088,47.0,832.029,50.983,843.568,0.0,242.62,0.0,-0.034,0.0,6.0,-0.033,0.0,0.0,1341.961,11.873,46.058,100.0,0.0,0.0,0.0,0.0,100.0,0.983,1.028,93.377,42.066,93.377,730.937,990.259,59.554,125.219,110.0,125.215,31.304,230.743,74.933,25.491,76.117,4.821,1.0
1.061,120.773,9.872,4.061,547.511,1007.001,36.755,-0.042,1.628,27.176,0.009,1.574,40.861,0.0,43.96,45.0,637.706,40.0,573.143,0.0,276.23,0.0,-0.027,0.0,1.928,-0.027,-0.0,0.0,1329.995,7.96,47.155,100.0,0.0,0.0,0.0,0.0,100.0,0.992,1.022,96.021,28.657,96.021,711.982,1175.902,57.062,81.526,110.0,81.526,20.381,194.24,63.344,20.0,73.993,4.46,3213.743
1.448,137.438,9.845,3.873,3842.913,1532.356,36.795,-0.063,1.639,27.412,-0.001,1.572,37.464,0.0,57.273,47.0,723.847,44.491,724.044,0.0,1.383,0.0,82.08,0.0,30.0,82.092,78.617,0.0,1303.212,8.745,45.561,100.0,0.0,0.0,0.0,0.0,100.0,1.03,1.079,91.303,36.202,91.303,917.309,820.929,28.525,96.879,110.0,96.879,24.22,193.142,68.102,22.248,77.863,5.694,2842.044
1.244,280.476,10.026,4.461,2336.059,1815.305,27.412,-2.88,1.215,95.368,2.7,5.852,23.687,-0.0,31.413,47.0,866.917,54.719,866.832,0.0,0.104,0.0,247.906,0.0,55.465,248.049,234.724,0.0,1342.208,11.836,45.064,58.038,0.0,0.0,0.0,0.0,57.785,1.127,1.248,92.086,43.342,92.086,534.484,502.661,35.398,145.945,110.0,146.198,36.55,268.851,78.335,27.36,79.925,6.209,1784.706
1.242,566.139,9.949,4.353,2112.475,1558.972,37.128,-1.058,1.616,187.586,1.511,10.776,20.992,0.0,35.797,47.0,816.359,50.751,819.487,0.0,238.692,0.0,-0.045,0.0,4.595,-0.043,0.0,0.0,1349.807,6.942,45.288,100.0,0.0,0.0,0.0,0.0,100.0,1.008,1.113,91.862,40.974,91.862,486.974,648.469,29.876,126.716,110.0,126.607,31.652,234.242,74.824,25.371,75.716,5.06,1.0
1.234,660.27,10.222,4.002,2059.608,1367.509,156.748,2.86,6.891,27.235,-2.789,1.568,37.808,0.0,40.341,45.0,641.974,40.0,604.907,0.0,90.885,0.0,0.373,0.0,6.312,0.373,0.0,0.0,1349.899,8.495,45.547,100.0,0.0,0.0,0.0,0.0,100.0,1.013,1.07,96.177,30.245,96.177,685.975,1015.369,49.571,82.276,110.0,82.245,20.561,191.736,63.439,20.0,72.183,4.691,2787.344
1.065,145.594,9.416,3.866,716.489,1330.876,64.177,5.971,2.854,27.471,-7.102,1.576,39.517,0.0,43.353,47.0,848.837,52.853,839.955,0.0,29.887,0.0,67.929,0.0,17.341,68.998,50.621,0.0,1337.646,11.231,45.951,89.385,0.0,0.0,0.0,0.0,89.567,1.09,1.107,90.726,41.998,90.726,984.474,936.908,13.463,131.335,110.0,131.062,32.823,237.769,76.387,26.431,79.526,6.954,3218.581
1.197,162.053,9.903,3.537,1660.949,1332.021,36.991,-3.882,1.645,88.969,3.078,4.976,41.156,0.0,45.014,45.0,642.542,40.0,607.114,0.0,235.651,0.0,-0.048,0.0,2.379,-0.048,0.0,0.0,1342.004,7.411,45.394,100.0,0.0,0.0,0.0,0.0,100.0,1.007,1.024,92.49,30.356,92.49,649.156,1100.624,45.275,82.453,110.0,82.381,20.595,189.378,63.415,20.0,75.901,4.492,3060.446
1.101,186.756,9.817,4.302,967.44,1202.185,36.186,-3.166,1.638,114.526,1.884,6.581,0.822,0.0,27.101,47.0,564.338,42.341,564.913,0.0,0.102,0.0,11.782,0.0,100.0,11.782,79.898,0.0,1143.998,19.611,47.095,100.0,0.0,0.0,0.0,0.0,100.0,0.937,0.981,92.242,28.169,92.242,0.082,1115.288,37.889,113.096,110.0,112.866,28.275,190.065,66.162,21.163,78.49,5.197,1398.432
1.243,187.345,9.874,4.01,2280.524,1205.333,37.168,-4.669,1.675,187.016,5.16,10.779,28.906,0.0,48.618,47.0,632.787,40.023,623.684,0.0,4.406,0.0,76.546,0.0,29.818,76.546,75.743,0.0,1293.834,11.122,44.901,81.243,0.0,0.0,0.0,0.0,81.578,1.067,1.178,96.74,31.184,96.74,669.209,614.573,32.962,76.467,110.0,76.467,19.117,217.062,63.277,20.009,76.578,5.778,2528.866
1.142,663.185,10.026,4.204,1395.189,1272.397,112.465,3.642,4.589,27.294,-4.031,1.584,39.371,0.0,35.292,47.0,824.234,51.623,821.881,0.0,168.862,0.0,-0.011,0.0,7.291,-0.011,-0.0,0.0,1350.437,9.288,45.649,100.001,0.0,0.0,0.0,0.0,100.0,0.985,1.004,90.388,41.094,90.388,958.564,1127.191,62.99,132.824,110.0,132.666,33.167,235.431,75.511,25.804,74.439,5.275,2921.278
1.112,412.325,9.791,4.451,1014.428,997.175,37.109,-1.389,1.654,143.616,5.148,7.811,38.662,0.0,38.237,47.0,828.658,52.258,841.664,0.0,1.305,0.0,118.342,0.0,36.495,118.239,115.582,0.0,1343.722,13.29,46.281,48.963,0.0,0.0,0.0,0.0,49.224,1.082,1.201,91.715,42.083,91.715,935.546,878.947,74.48,135.879,110.0,135.879,33.97,232.859,76.247,26.123,74.521,5.084,2729.39
1.038,4.971,-0.749,4.19,352.435,1064.812,-0.383,-0.049,0.0,-0.638,-0.008,0.0,16.012,0.0,16.987,47.0,797.4,50.794,804.303,0.0,0.129,0.0,135.572,0.0,38.383,136.372,135.216,0.0,1368.269,9.652,45.749,50.349,0.0,0.0,0.0,0.0,50.238,1.103,1.288,92.339,40.204,92.339,351.344,367.361,27.113,127.422,110.0,127.422,31.855,199.632,74.844,25.394,77.197,4.987,1018.26
